Source_Expense_Name,Normalized_Expense_Head,Expense_Group,Expense_Subgroup,Cost_Behaviour,Direct_or_Shared,Default_Grain,Tax_Basis,Accounting_Status,CM2_Inclusion_Status,Sign_Rule,Allocation_Rule_ID,Effective_From,Effective_To,Approved_By,Approval_Date,Rule_Version,Notes
Scheme / Trade Spend,Trade Scheme,TRADE EXPENSE,SCHEME,VARIABLE,DIRECT,MONTH_X_CHAIN_X_BRAND,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-001,2026-04-01,,,,v0.1-DRAFT,"OBSERVED in PL_Expense_Input.csv (EXAMPLE ROW, 28.4L, Reliance/Mamaearth). Currently the only trade-spend value in production CM2 and it is not real data."
Scheme Provisions,Scheme Provision,TRADE EXPENSE,SCHEME PROVISION,VARIABLE,DIRECT,MONTH_X_CHAIN,EXCL_GST,ACCRUED,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-002,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
Customer Claims,Customer Claim,TRADE EXPENSE,CUSTOMER CLAIM,VARIABLE,DIRECT,MONTH_X_CHAIN,EXCL_GST,PROVISIONAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-002,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
TOT,TOT,TRADE EXPENSE,TOT,VARIABLE,DIRECT,MONTH_X_CHAIN,EXCL_GST,ACTUAL,EXCLUDE,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,EXCLUDE by default: build_dashboard_data.py already nets TOT%/on-invoice margin out of NSV upstream (see cm2 methodology string). Including it here would double-deduct. Finance must confirm the NSV basis before this is ever flipped.
Margin Support,Margin Support,TRADE EXPENSE,MARGIN SUPPORT,VARIABLE,DIRECT,MONTH_X_CHAIN,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-002,2026-04-01,,,,v0.1-DRAFT,Forward-declared. Check overlap with TOT before including.
Promotional Support,Promotional Support,TRADE EXPENSE,PROMO SUPPORT,VARIABLE,DIRECT,MONTH_X_CHAIN_X_BRAND,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-001,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
Commercial Settlement,Commercial Settlement,TRADE EXPENSE,SETTLEMENT,VARIABLE,DIRECT,MONTH_X_CHAIN,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-002,2026-04-01,,,,v0.1-DRAFT,Forward-declared. Often carries genuine negative (credit) values.
BA CTC,BA CTC,FIELD FORCE COST,BA,FIXED,DIRECT,MONTH_X_CHAIN_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-004,2026-04-01,,,,v0.1-DRAFT,OBSERVED in MT_Spend.xlsx sheet 'BA ' where Payout='Salary'. Q1 FY27 = 368.99L. Chain Name present on every row so direct chain tagging is possible.
BA Reimbursement,BA Reimbursement,FIELD FORCE COST,BA,SEMI_VARIABLE,DIRECT,MONTH_X_CHAIN_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-004,2026-04-01,,,,v0.1-DRAFT,"OBSERVED, sheet 'BA ' Payout='Expense'. Q1 FY27 = 0.52L."
BA Incentive,BA Incentive,FIELD FORCE COST,BA,VARIABLE,DIRECT,MONTH_X_CHAIN_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-004,2026-04-01,,,,v0.1-DRAFT,"OBSERVED, sheet 'BA '. DOUBLE-COUNT RISK: the Incentive column is populated on Payout='Salary' rows (14.80L), Payout='Incentive' rows (11.13L) AND Payout='Expense' rows (0.08L). Naive sum = 26.01L. Finance must state which rows are authoritative before any load."
BA Cost,BA Cost (unsplit),FIELD FORCE COST,BA,FIXED,DIRECT,MONTH_X_CHAIN,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-002,2026-04-01,,,,v0.1-DRAFT,"OBSERVED in PL_Expense_Input.csv (EXAMPLE ROW, 6.75L, Apollo, no Brand). This single unsplit row is the entire CM2-BRAND-EXPENSE-001 gap. Superseded by the split BA CTC/Reimbursement/Incentive heads once MT_Spend is approved."
Supervisor CTC,Supervisor CTC,FIELD FORCE COST,SUPERVISOR,FIXED,SHARED,MONTH_X_ZONE_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-005,2026-04-01,,,,v0.1-DRAFT,"OBSERVED, sheet 'Sups' Payout='Salary'. Q1 FY27 = 44.46L. SHARED: sheet has no Chain Name column and Channel is Hybrid(112)/MT(52)/GT(37) - a GT portion is not MT cost at all."
Supervisor Reimbursement,Supervisor Reimbursement,FIELD FORCE COST,SUPERVISOR,SEMI_VARIABLE,SHARED,MONTH_X_ZONE_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-005,2026-04-01,,,,v0.1-DRAFT,"OBSERVED, sheet 'Sups' Payout='Expense'. Q1 FY27 = 9.93L."
Supervisor Incentive,Supervisor Incentive,FIELD FORCE COST,SUPERVISOR,VARIABLE,SHARED,MONTH_X_ZONE_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-005,2026-04-01,,,,v0.1-DRAFT,"OBSERVED, sheet 'Sups'. Same multi-payout double-count pattern as BA Incentive: Salary rows 1.15L + Incentive rows 0.89L + Expense rows 0.03L = 2.06L."
Merchandiser CTC,Merchandiser CTC,FIELD FORCE COST,MERCHANDISER,FIXED,DIRECT,MONTH_X_CHAIN_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-004,2026-04-01,,,,v0.1-DRAFT,"OBSERVED, sheet 'D-Mart' Payout='Salary'. Q1 FY27 = 279.49L. Chain is implicitly D-Mart (sheet-level), not a column - confirm before tagging."
Merchandiser Reimbursement,Merchandiser Reimbursement,FIELD FORCE COST,MERCHANDISER,SEMI_VARIABLE,DIRECT,MONTH_X_CHAIN_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-004,2026-04-01,,,,v0.1-DRAFT,"OBSERVED, sheet 'D-Mart' Payout='Expense'. Q1 FY27 = 7.77L."
Merchandiser Incentive,Merchandiser Incentive,FIELD FORCE COST,MERCHANDISER,VARIABLE,DIRECT,MONTH_X_CHAIN_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-004,2026-04-01,,,,v0.1-DRAFT,"OBSERVED, sheet 'D-Mart'. 1.74L sits entirely on Payout='Expense' rows - a different pattern from BA/Sups. Confirm this is incentive and not reimbursement."
Other MT Employee Cost,Other MT People Cost,FIELD FORCE COST,OTHER MT PEOPLE,FIXED,SHARED,MONTH_X_ZONE_X_EMPLOYEE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-005,2026-04-01,,,,v0.1-DRAFT,"Covers DESIGNATION values outside BA/Supervisor/Merchandiser: FLOATER, BDE, TEAM LEADER, SALES OFFICER, PROMOTER, Lead Supervisor, SENIOR SUPERVISOR."
Visibility Spend,Store Visibility,VISIBILITY AND RENTAL,VISIBILITY,SEMI_VARIABLE,DIRECT,MONTH_X_CHAIN_X_STORE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-001,2026-04-01,,,,v0.1-DRAFT,"OBSERVED in PL_Expense_Input.csv (EXAMPLE ROW, 12.5L, Dmart/Mamaearth). Store-specific - must never be spread across all chains."
Counter Rental,Counter Rental,VISIBILITY AND RENTAL,RENTAL,FIXED,DIRECT,MONTH_X_CHAIN_X_STORE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-006,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
Shelf Rental,Shelf Rental,VISIBILITY AND RENTAL,RENTAL,FIXED,DIRECT,MONTH_X_CHAIN_X_STORE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-006,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
Endcap,Endcap,VISIBILITY AND RENTAL,VISIBILITY,SEMI_VARIABLE,DIRECT,MONTH_X_CHAIN_X_STORE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-006,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
Powerwing,Powerwing,VISIBILITY AND RENTAL,VISIBILITY,SEMI_VARIABLE,DIRECT,MONTH_X_CHAIN_X_STORE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-006,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
FSU,FSU,VISIBILITY AND RENTAL,VISIBILITY,SEMI_VARIABLE,DIRECT,MONTH_X_CHAIN_X_STORE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-006,2026-04-01,,,,v0.1-DRAFT,Forward-declared. Free-standing unit.
SIS,SIS,VISIBILITY AND RENTAL,VISIBILITY,FIXED,DIRECT,MONTH_X_CHAIN_X_STORE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-006,2026-04-01,,,,v0.1-DRAFT,"Shop-in-shop. NOTE: 'SIS' also appears as a Chain Name value on 77 rows of MT_Spend sheet 'BA ' - that is a deployment location, not a retail chain."
Branding,Branding,VISIBILITY AND RENTAL,BRANDING,SEMI_VARIABLE,SHARED,MONTH_X_CHAIN,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-002,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
Display,Display,VISIBILITY AND RENTAL,VISIBILITY,SEMI_VARIABLE,DIRECT,MONTH_X_CHAIN_X_STORE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-006,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
Activation,Activation,VISIBILITY AND RENTAL,ACTIVATION,VARIABLE,DIRECT,MONTH_X_CHAIN_X_STORE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-006,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
MT Central Team,MT Central Team,SHARED OR CORPORATE,CENTRAL TEAM,FIXED,CORPORATE,MONTH_ONLY,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Retain in Shared MT Expense. Never force onto a Brand or Chain.
Shared Supervisor,Shared Supervisor,SHARED OR CORPORATE,SHARED MANPOWER,FIXED,SHARED,MONTH_X_ZONE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-005,2026-04-01,,,,v0.1-DRAFT,Supervisor rows with Channel='Hybrid' or 'GT' cover non-MT channels - a split basis is required before any MT attribution.
Common Manpower,Common Manpower,SHARED OR CORPORATE,SHARED MANPOWER,FIXED,SHARED,MONTH_X_ZONE,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
Central Activation,Central Activation,SHARED OR CORPORATE,CENTRAL ACTIVATION,VARIABLE,CORPORATE,MONTH_ONLY,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
Corporate Allocation,Corporate Allocation,SHARED OR CORPORATE,CORPORATE,FIXED,CORPORATE,MONTH_ONLY,EXCL_GST,ACTUAL,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
(no Chain or Brand tag),Untagged Expense,SHARED OR CORPORATE,UNTAGGED,UNKNOWN,UNMAPPED,MONTH_ONLY,UNKNOWN,PENDING,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Catch-all for rows carrying neither Chain nor Brand. Surfaces as Unallocated Brand Expense / Unallocated Chain Expense.
(unknown head),Unmapped Expense Head,SHARED OR CORPORATE,UNMAPPED,UNKNOWN,UNMAPPED,MONTH_ONLY,UNKNOWN,PENDING,PENDING_APPROVAL,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,MANDATORY landing bucket for any source expense name absent from this taxonomy. Logged to outputs/cm2/unknown_expense_heads.csv. Never silently dropped.
GST Input,GST Input,TAX,GST,VARIABLE,DIRECT,MONTH_X_DISTRIBUTOR,GST_ONLY,ACTUAL,EXCLUDE,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Tax stays separate from base expense. CM2 runs on net-of-tax NSV.
Tax Adjustment,Tax Adjustment,TAX,GST,VARIABLE,SHARED,MONTH_ONLY,GST_ONLY,ACTUAL,EXCLUDE,PRESERVE_SIGN,ALLOC-000,2026-04-01,,,,v0.1-DRAFT,Forward-declared.
