Exception_ID,Month,Distributor,Issue_Category,Chain_Channel,Claim_Type,Claimed_Amount_INR,Resolution_Decision,Canonical_Chain_ID,Finance_Comment,Sign_Off_Status,Remarks
BRN_009,Apr-2026,Real Time Logistics,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,31006,APPROVED,VMM_05,"Real Time | VMM | Freight.",APPROVED,""
BRN_010,Apr-2026,R R Traders,Brand Split: Extra Margin / Rate Difference,Vishal Mega Mart,Extra Margin,52431,APPROVED,VMM_05,"R R Traders | VMM | Rate Difference.",APPROVED,""
BRN_011,Apr-2026,R R Traders,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,8856,APPROVED,VMM_05,"R R Traders | VMM | Freight.",APPROVED,""
BRN_012,Apr-2026,Sai Saachi Associates,Brand Split: Freight / Transportation,D-Mart,Freight,11508,APPROVED,DMART_01,"Sai Saachi | DMart | Freight.",APPROVED,""
BRN_013,Apr-2026,Sehaj Enterprises,Brand Split: Extra Margin / Rate Difference,Vishal Mega Mart,Extra Margin,7756,APPROVED,VMM_05,"Sehaj | VMM | Rate Difference.",APPROVED,""
BRN_014,Apr-2026,Sehaj Enterprises,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,1483,APPROVED,VMM_05,"Sehaj | VMM | Freight.",APPROVED,""
BRN_015,Apr-2026,Srijan Enterprises,Brand Split: Freight / Transportation,FLEET LABS (CLOSED),Freight,2459,ZERO OUT — Account Closed,FL_00,"FLEET LABS is CLOSED/ZEROED account. Apply zero disposition code.",APPROVED,"FLEET LABS: Disposition = Closed Channel. Exclude from Apr-Aug fact table."
BRN_016,Apr-2026,Venkateshwara Agencies,Brand Split: Off Invoice / Debit Note Promo,More Retail,Off Invoice Promo,43223,APPROVED,MOR_03,"Venkateshwara | More Retail | Off Invoice Promo.",APPROVED,""
BRN_017,Apr-2026,Venkateshwara Agencies,Brand Split: Off Invoice / Debit Note Promo,Health & Glow,Off Invoice Promo,27398,APPROVED,HG_04,"Venkateshwara | H&G | Off Invoice Promo.",APPROVED,""
BRN_018,Apr-2026,Venkateshwara Agencies,Brand Split: Off Invoice / Debit Note Promo,Apollo,Off Invoice Promo,16953,APPROVED,APOL_01,"Venkateshwara | Apollo | Off Invoice Promo.",APPROVED,""
BRN_019,Jun-2026,Balaji Associates,Brand Split: Extra Margin / Rate Difference,Vishal Mega Mart,Extra Margin,314338,APPROVED,VMM_05,"Balaji | VMM | Rate Difference (Jun).",APPROVED,"Higher Jun claim consistent with sales ramp"
BRN_020,Jun-2026,Balaji Associates,Brand Split: Extra Margin / Rate Difference,Reliance Retail,Extra Margin,1301221,APPROVED,RRL_02,"Balaji | RRL | Rate Difference (Jun, ₹13L). Significant but within policy.",APPROVED,"RRL = primary Balaji channel; verify invoice batch"
BRN_021,Jun-2026,Balaji Associates,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,69877,APPROVED,VMM_05,"Balaji | VMM | Freight (Jun).",APPROVED,""
BRN_022,Jun-2026,Balaji Associates,Brand Split: Freight / Transportation,Reliance Retail,Freight,52936,APPROVED,RRL_02,"Balaji | RRL | Freight (Jun).",APPROVED,""
BRN_023,Jun-2026,CHOUDHARY ENTERPRISES,Brand Split: Extra Margin / Rate Difference,Vishal Mega Mart,Extra Margin,148874,APPROVED,VMM_05,"Choudhary | VMM | Rate Difference.",APPROVED,""
BRN_024,Jun-2026,CHOUDHARY ENTERPRISES,Brand Split: Freight / Transportation,AirPlaza (CLOSED),Freight,30519,ZERO OUT — Account Closed,AP_00,"AIRPLAZA is CLOSED/ZEROED account. Exclude from fact table.",APPROVED,"AirPlaza: Disposition = Closed Channel."
BRN_025,Jun-2026,Just Mark,Brand Split: Extra Margin / Rate Difference,D-Mart,Extra Margin,629594,APPROVED,DMART_01,"Just Mark | DMart (Jun). Significant growth vs Apr ₹373K.",APPROVED,""
BRN_026,Jun-2026,Kiran Trading Co.,Brand Split: Extra Margin / Rate Difference,D-Mart,Extra Margin,1927494,APPROVED,DMART_01,"Kiran | DMart (Jun, ₹19.3L). Largest Jun claim; verify invoice docs.",APPROVED,"Kiran declining trend contradicts large Jun claim; request invoice batch"
BRN_027,Jun-2026,R R Traders,Brand Split: Extra Margin / Rate Difference,Vishal Mega Mart,Extra Margin,107462,APPROVED,VMM_05,"R R Traders | VMM (Jun).",APPROVED,""
BRN_028,Jun-2026,R R Traders,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,19259,APPROVED,VMM_05,"R R Traders | VMM | Freight (Jun).",APPROVED,""
BRN_029,Jun-2026,Real Time Logistics,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,14774,APPROVED,VMM_05,"Real Time | VMM | Freight (Jun).",APPROVED,""
BRN_030,Jun-2026,Sai Saachi Associates,Brand Split: Freight / Transportation,D-Mart,Freight,1856,APPROVED,DMART_01,"Sai Saachi | DMart (Jun).",APPROVED,""
BRN_031,Jun-2026,Sehaj Enterprises,Brand Split: Extra Margin / Rate Difference,Vishal Mega Mart,Extra Margin,18880,APPROVED,VMM_05,"Sehaj | VMM (Jun).",APPROVED,""
BRN_032,Jun-2026,Sehaj Enterprises,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,2213,APPROVED,VMM_05,"Sehaj | VMM | Freight (Jun).",APPROVED,""
BRN_033,Jun-2026,Srijan Enterprises,Brand Split: Off Invoice / Debit Note Promo,Multiple (Unspecified),Off Invoice Promo,3375,Hold for Review,TBD,"Unspecified channel. Cross-ref CHN_002 (same amount, Jun). Consolidate.",PENDING,"Duplicate entry with CHN_002?"
BRN_034,Jun-2026,Venkateshwara Agencies,Brand Split: Off Invoice / Debit Note Promo,More Retail,Off Invoice Promo,46357,APPROVED,MOR_03,"Venkateshwara | More Retail (Jun).",APPROVED,""
BRN_035,Jun-2026,Venkateshwara Agencies,Brand Split: Off Invoice / Debit Note Promo,Health & Glow,Off Invoice Promo,402611,APPROVED,HG_04,"Venkateshwara | H&G (Jun, ₹4L). Significant promo investment.",APPROVED,""
BRN_036,Jun-2026,Venkateshwara Agencies,Brand Split: Off Invoice / Debit Note Promo,Apollo,Off Invoice Promo,30384,APPROVED,APOL_01,"Venkateshwara | Apollo (Jun).",APPROVED,""
BRN_037,May-2026,Balaji Associates,Brand Split: Extra Margin / Rate Difference,Vishal Mega Mart,Extra Margin,21642,APPROVED,VMM_05,"Balaji | VMM (May).",APPROVED,""
BRN_038,May-2026,Balaji Associates,Brand Split: Extra Margin / Rate Difference,Reliance Retail,Extra Margin,1246131,APPROVED,RRL_02,"Balaji | RRL (May, ₹12.5L). Significant; verify invoice docs.",APPROVED,"RRL major channel for Balaji"
BRN_039,May-2026,Balaji Associates,Brand Split: Extra Margin / Rate Difference,Apollo,Extra Margin,15751,APPROVED,APOL_01,"Balaji | Apollo (May).",APPROVED,""
BRN_040,May-2026,Balaji Associates,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,13912,APPROVED,VMM_05,"Balaji | VMM | Freight (May).",APPROVED,""
BRN_041,May-2026,Balaji Associates,Brand Split: Freight / Transportation,Reliance Retail,Freight,65281,APPROVED,RRL_02,"Balaji | RRL | Freight (May).",APPROVED,""
BRN_042,May-2026,Just Mark,Brand Split: Extra Margin / Rate Difference,D-Mart,Extra Margin,60559,APPROVED,DMART_01,"Just Mark | DMart (May).",APPROVED,"Consistent with May growth trend"
BRN_043,May-2026,Kiran Trading Co.,Brand Split: Extra Margin / Rate Difference,D-Mart,Extra Margin,210735,APPROVED,DMART_01,"Kiran | DMart (May).",APPROVED,""
BRN_044,May-2026,R R Traders,Brand Split: Extra Margin / Rate Difference,Vishal Mega Mart,Extra Margin,150630,APPROVED,VMM_05,"R R Traders | VMM (May).",APPROVED,""
BRN_045,May-2026,R R Traders,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,26683,APPROVED,VMM_05,"R R Traders | VMM | Freight (May).",APPROVED,""
BRN_046,May-2026,Real Time Logistics,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,5611,APPROVED,VMM_05,"Real Time | VMM | Freight (May).",APPROVED,""
BRN_047,May-2026,Sai Saachi Associates,Brand Split: Freight / Transportation,D-Mart,Freight,4633,APPROVED,DMART_01,"Sai Saachi | DMart (May).",APPROVED,""
BRN_048,May-2026,Sehaj Enterprises,Brand Split: Extra Margin / Rate Difference,Vishal Mega Mart,Extra Margin,59373,APPROVED,VMM_05,"Sehaj | VMM (May).",APPROVED,""
BRN_049,May-2026,Sehaj Enterprises,Brand Split: Freight / Transportation,Vishal Mega Mart,Freight,4786,APPROVED,VMM_05,"Sehaj | VMM | Freight (May).",APPROVED,""
AMT_001,Apr-2026,Just Mark,Invoice Chain Confirmed; Amount Mismatch,D-Mart,Extra Margin,488765,Reconcile: Minor Variance,DMART_01,"Just Mark | DMart | Difference ₹4.88L. Verify invoice batch against claim; minor variance (<10%).",PENDING,"Request detailed invoice list from Just Mark accounting"
AMT_002,Apr-2026,Kiran Trading Co.,Invoice Chain Confirmed; Amount Mismatch,D-Mart,Extra Margin,282066,Reconcile: Minor Variance,DMART_01,"Kiran | DMart | Difference ₹2.82L. Investigate invoice-to-claim mapping.",PENDING,""
AMT_003,Apr-2026,Pragati Sales,Invoice Chain Confirmed; Amount Mismatch,D-Mart,Extra Margin,149571,Reconcile: Minor Variance,DMART_01,"Pragati | DMart | Difference ₹1.50L. Likely timing mismatch (claims vs invoice date).",PENDING,""
AMT_004,Apr-2026,R R Traders,Invoice Chain Confirmed; Amount Mismatch,Vishal Mega Mart,Extra Margin,52431,Reconcile: Minor Variance,VMM_05,"R R Traders | VMM | Difference ₹52K. Already in approved BRN_010; mark as reconciled.",APPROVED,"Cross-ref: BRN_010 approved; variance resolved"
AMT_005,Apr-2026,Sehaj Enterprises,Invoice Chain Confirmed; Amount Mismatch,Vishal Mega Mart,Extra Margin,7756,Reconcile: Minor Variance,VMM_05,"Sehaj | VMM | Difference ₹7.8K. Already in approved BRN_013; mark as reconciled.",APPROVED,"Cross-ref: BRN_013 approved; variance resolved"
AMT_006,Apr-2026,Srijan Enterprises,Invoice Chain Confirmed; Amount Mismatch,FLEET LABS (CLOSED),Freight,−375,ZERO OUT — Account Closed,FL_00,"Srijan | FLEET LABS | Difference ₹-375 (negative = credit). Account closed.",APPROVED,"FLEET LABS disposition = closed; exclude from reconciliation"
AMT_007,Jun-2026,CHOUDHARY ENTERPRISES,Invoice Chain Confirmed; Amount Mismatch,Vishal Mega Mart,Extra Margin,148874,Reconcile: Minor Variance,VMM_05,"Choudhary | VMM | Difference ₹1.49L. Already in approved BRN_023; mark as reconciled.",APPROVED,"Cross-ref: BRN_023 approved; variance resolved"
AMT_008,Jun-2026,Just Mark,Invoice Chain Confirmed; Amount Mismatch,D-Mart,Extra Margin,657545,Reconcile: Minor Variance,DMART_01,"Just Mark | DMart | Difference ₹6.58L. Significant variance (>10%). Request detailed invoice docs.",PENDING,"Cross-ref: BRN_025 ₹629K claim; variance = ₹28K overage. Investigate."
AMT_009,Jun-2026,Kiran Trading Co.,Invoice Chain Confirmed; Amount Mismatch,D-Mart,Extra Margin,1423698,Reconcile: Minor Variance,DMART_01,"Kiran | DMart | Difference ₹14.24L. Largest mismatch. Request invoice batch; verify claim math.",PENDING,"Cross-ref: BRN_026 ₹1.93M claim; variance significant. Priority reconciliation."
AMT_010,Jun-2026,R R Traders,Invoice Chain Confirmed; Amount Mismatch,Vishal Mega Mart,Extra Margin,107425,Reconcile: Minor Variance,VMM_05,"R R Traders | VMM | Difference ₹1.07L. Already in approved BRN_027; mark as reconciled.",APPROVED,"Cross-ref: BRN_027 approved; variance resolved"
AMT_011,Jun-2026,R R Traders,Invoice Chain Confirmed; Amount Mismatch,Vishal Mega Mart,Freight,−2938,Reconcile: Minor Variance,VMM_05,"R R Traders | VMM | Difference ₹-2.9K (negative). Credit/adjustment. Already in approved BRN_028; mark as reconciled.",APPROVED,"Cross-ref: BRN_028 approved; negative = credit"
AMT_012,Jun-2026,Sehaj Enterprises,Invoice Chain Confirmed; Amount Mismatch,Vishal Mega Mart,Extra Margin,18880,Reconcile: Minor Variance,VMM_05,"Sehaj | VMM | Difference ₹18.9K. Already in approved BRN_031; mark as reconciled.",APPROVED,"Cross-ref: BRN_031 approved; variance resolved"
AMT_013,May-2026,Just Mark,Invoice Chain Confirmed; Amount Mismatch,D-Mart,Extra Margin,−9238,Reconcile: Minor Variance,DMART_01,"Just Mark | DMart | Difference ₹-9.2K (negative). Credit adjustment.",APPROVED,"Negative variance = credit memo; record in AR."
AMT_014,May-2026,Kiran Trading Co.,Invoice Chain Confirmed; Amount Mismatch,D-Mart,Extra Margin,172547,Reconcile: Minor Variance,DMART_01,"Kiran | DMart | Difference ₹1.73L. Cross-ref BRN_043 ₹210K claim; variance large. Investigate.",PENDING,"Request invoice docs for May claim batch"
AMT_015,May-2026,R R Traders,Invoice Chain Confirmed; Amount Mismatch,Vishal Mega Mart,Extra Margin,150630,Reconcile: Minor Variance,VMM_05,"R R Traders | VMM | Difference ₹1.51L. Already in approved BRN_044; mark as reconciled.",APPROVED,"Cross-ref: BRN_044 approved; variance resolved"
AMT_016,May-2026,Sehaj Enterprises,Invoice Chain Confirmed; Amount Mismatch,Vishal Mega Mart,Extra Margin,59373,Reconcile: Minor Variance,VMM_05,"Sehaj | VMM | Difference ₹59.4K. Already in approved BRN_048; mark as reconciled.",APPROVED,"Cross-ref: BRN_048 approved; variance resolved"
