id,skill,category,severity,summary,evidence,amount_l,location,owner,decision_ref,remediation
SCAN-SUMMARY,repository_scan,inventory,PASS,Scanned 178 tracked files across 11 roles,app=6; authoritative=28; code=27; config=5; doc=11; generated=13; powerbi=48; reference=3; seed=29; test=3; unclassified=5,,,,,
REG-SUMMARY,metric_registry,lineage,PASS,10/10 registered metrics resolve against data.js,,,,,,
VAL-FY-HARDCODE-build_dashboard_data,schema_validator,fiscal_year,WARN,14 hardcoded FY literals in build_dashboard_data.py,"first: line 1691: share = sum(c[""fy26""] or 0 for c in top2) / tot * 100",,scripts/build_dashboard_data.py:1691,Dashboard team,,Derive FY via fy_tag_from_ym/fy_tag_from_label so FY28+ appear automatically.
VAL-FY-HARDCODE-exclude_brands,schema_validator,fiscal_year,WARN,13 hardcoded FY literals in exclude_brands.py,"first: line 131: f""  primary.nsv_fy25:       -{primary_deltas['fy25']:.2f} L"",",,scripts/exclude_brands.py:131,Dashboard team,,Derive FY via fy_tag_from_ym/fy_tag_from_label so FY28+ appear automatically.
VAL-SRC-MISSING-Jun-26,schema_validator,missing_source,WARN,Jun-26 has NSV in data.js but no article CSV in the repo,data.js NSV=4167.36 L; expected primary_article_Jun_26.csv,4167.36,PowerBI/RawDataFolders/Primary_Article_Monthly,Sales MIS,,Supply the month's article CSV so the figure is recomputable from source.
DQ-CHAINDROP,data_quality,coverage_gap,WARN,2 chain(s) in dims.Chain are absent from cm2.by_chain,"Octopolis Technologies Pvt Ltd, Sohum Shoppe",,dashboard/data.js:cm2.by_chain,Dashboard team,D13,"Retain a chain whenever any source record exists, including net-negative ones."
RECON-CM2-BY_CHAIN-EXPENSE,reconciliation,additivity,PASS,cm2.by_chain: expense sums to total (diff 0.00 L within 0.23 L rounding ceiling),sum=47.65 total=47.65 rows=46 ceiling=0.23,0.00,dashboard/data.js:cm2.by_chain,Finance,,
RECON-CM2-BY_BRAND-EXPENSE,reconciliation,coverage_gap,WARN,"cm2.by_brand: expense sum differs from total by -6.75 L -- 270.00x the 0.02 L rounding ceiling, so NOT rounding",sum=40.90 total=47.65 rows=5 ceiling=0.02,-6.75,dashboard/data.js:cm2.by_brand,Finance,CM2-BRAND-EXPENSE-001,"Classify as coverage gap, missing mapping, duplicate allocation or unallocated bucket. Do not label rounding."
RECON-CM2-BY_CHAIN-NSV,reconciliation,coverage_gap,WARN,"cm2.by_chain: nsv sum differs from total by 22.84 L -- 99.30x the 0.23 L rounding ceiling, so NOT rounding",sum=42396.19 total=42373.35 rows=46 ceiling=0.23,22.84,dashboard/data.js:cm2.by_chain,Dashboard team,D13,"Classify as coverage gap, missing mapping, duplicate allocation or unallocated bucket. Do not label rounding."
RECON-CM2-BY_BRAND-NSV,reconciliation,additivity,PASS,cm2.by_brand: nsv sums to total (diff 0.00 L within 0.02 L rounding ceiling),sum=42373.35 total=42373.35 rows=5 ceiling=0.02,0.00,dashboard/data.js:cm2.by_brand,Dashboard team,,
RECON-CM2-IDENTITY,reconciliation,identity,PASS,CM2 identity NSV - expense = cm2_value (residual 0.00 L),42373.35 - 47.65 vs 42325.7,0.00,dashboard/data.js:cm2,Finance,,
RECON-FY27-MONTHLY,reconciliation,additivity,PASS,FY27 monthly series sums to FY total (diff 0.00 L),monthly=13652.59 nsv=13652.59,0.00,dashboard/data.js:detail_meta.fyx_primary.FY27,Sales MIS,,
RECON-FYX_PRIMARY-FY27-BY_BRAND-NSV,reconciliation,additivity,PASS,fyx_primary.FY27.by_brand: nsv sums to total (diff 0.00 L within 0.03 L rounding ceiling),sum=13652.59 total=13652.59 rows=6 ceiling=0.03,0.00,dashboard/data.js:fyx_primary.FY27.by_brand,Sales MIS,,
RECON-FYX_PRIMARY-FY27-BY_CHANNEL-NSV,reconciliation,additivity,PASS,fyx_primary.FY27.by_channel: nsv sums to total (diff 0.00 L within 0.02 L rounding ceiling),sum=13652.59 total=13652.59 rows=3 ceiling=0.02,0.00,dashboard/data.js:fyx_primary.FY27.by_channel,Sales MIS,,
RECON-FYX_PRIMARY-FY27-BY_ZONE-NSV,reconciliation,coverage_gap,WARN,"fyx_primary.FY27.by_zone: nsv sum differs from total by 7.37 L -- 294.80x the 0.02 L rounding ceiling, so NOT rounding",sum=13659.96 total=13652.59 rows=5 ceiling=0.02,7.37,dashboard/data.js:fyx_primary.FY27.by_zone,Sales MIS,,"Classify as coverage gap, missing mapping, duplicate allocation or unallocated bucket. Do not label rounding."
RECON-FYX_PRIMARY-FY27-BY_CHAIN-NSV,reconciliation,coverage_gap,WARN,"fyx_primary.FY27.by_chain: nsv sum differs from total by -33.66 L -- 198.00x the 0.17 L rounding ceiling, so NOT rounding",sum=13618.93 total=13652.59 rows=34 ceiling=0.17,-33.66,dashboard/data.js:fyx_primary.FY27.by_chain,Sales MIS,,"Classify as coverage gap, missing mapping, duplicate allocation or unallocated bucket. Do not label rounding."
RECON-OFFTAKE-FY25,reconciliation,additivity,PASS,Offtake fy25: monthly sums to total (diff 0.00 L),monthly=21840.00 total=21840.00 months=12,0.00,dashboard/data.js:offtake.total_fy25,Trade Marketing,,
RECON-OFFTAKE-BY_CHAIN[FY25]-FY25,reconciliation,additivity,PASS,offtake.by_chain[fy25]: fy25 sums to total (diff 0.00 L within 0.14 L rounding ceiling),sum=21840.00 total=21840.00 rows=29 ceiling=0.14,0.00,dashboard/data.js:offtake.by_chain[fy25],Trade Marketing,,
RECON-OFFTAKE-FY26,reconciliation,additivity,PASS,Offtake fy26: monthly sums to total (diff 0.00 L),monthly=31082.00 total=31082.00 months=12,0.00,dashboard/data.js:offtake.total_fy26,Trade Marketing,,
RECON-OFFTAKE-BY_CHAIN[FY26]-FY26,reconciliation,additivity,PASS,offtake.by_chain[fy26]: fy26 sums to total (diff 0.00 L within 0.14 L rounding ceiling),sum=31082.00 total=31082.00 rows=29 ceiling=0.14,0.00,dashboard/data.js:offtake.by_chain[fy26],Trade Marketing,,
RECON-OFFTAKE-FY27,reconciliation,additivity,PASS,Offtake fy27: monthly sums to total (diff 0.00 L),monthly=11438.72 total=11438.72 months=3,0.00,dashboard/data.js:offtake.total_fy27,Trade Marketing,,
RECON-OFFTAKE-BY_CHAIN[FY27]-FY27,reconciliation,additivity,PASS,offtake.by_chain[fy27]: fy27 sums to total (diff 0.00 L within 0.14 L rounding ceiling),sum=11438.72 total=11438.72 rows=29 ceiling=0.14,0.00,dashboard/data.js:offtake.by_chain[fy27],Trade Marketing,,
RECON-PRIMARY-FY25-MONTHLY,reconciliation,additivity,WARN,Primary fy25: monthly sums to FY total (diff 3.94 L),monthly=23331.98 nsv=23328.04 (known: excluded brands are removed from the monthly pre-agg),3.94,dashboard/data.js:primary.nsv_fy25,Sales MIS,,
RECON-PRIMARY-FY26-MONTHLY,reconciliation,additivity,WARN,Primary fy26: monthly sums to FY total (diff 12.25 L),monthly=32900.37 nsv=32888.12 (known: excluded brands are removed from the monthly pre-agg),12.25,dashboard/data.js:primary.nsv_fy26,Sales MIS,,
GOV-PENDING-D1,finance_governance,governance,WARN,D1 PENDING_APPROVAL: Does CM2 include COGS?,safe default in force: PENDING_APPROVAL - staged outside reported CM2,,config/cm2_decision_register.csv,Finance,D1,Blocks any production use of the affected component.
GOV-PENDING-D2,finance_governance,governance,WARN,D2 PENDING_APPROVAL: GST basis for trade claims,safe default in force: Retain excl/GST/incl separately; no CM2 use,,config/cm2_decision_register.csv,Finance,D2,Blocks any production use of the affected component.
GOV-PENDING-D3,finance_governance,governance,WARN,D3 PENDING_APPROVAL: Do provisional claims enter CM2?,safe default in force: PROVISIONAL and excluded,,config/cm2_decision_register.csv,Finance,D3,Blocks any production use of the affected component.
GOV-PENDING-D4,finance_governance,governance,WARN,D4 PENDING_APPROVAL: Is balance provision a current-period charge?,safe default in force: Blocked from current-period CM2,,config/cm2_decision_register.csv,Finance,D4,Blocks any production use of the affected component.
GOV-PENDING-D5,finance_governance,governance,WARN,D5 PENDING_APPROVAL: Is Salary-row incentive additive to Incentive-row incentive?,safe default in force: POSSIBLE_RESTATEMENT - excluded,,config/cm2_decision_register.csv,Finance + HR,D5,Blocks any production use of the affected component.
GOV-PENDING-D6,finance_governance,governance,WARN,D6 PENDING_APPROVAL: Does field-force CTC belong in CM2?,safe default in force: Unallocated pending scope decision,,config/cm2_decision_register.csv,Finance,D6,Blocks any production use of the affected component.
GOV-PENDING-D7,finance_governance,governance,WARN,D7 PENDING_APPROVAL: What share of Hybrid/GT supervisor cost is MT?,safe default in force: Unallocated until an MT basis is approved,,config/cm2_decision_register.csv,Finance + Sales Ops,D7,Blocks any production use of the affected component.
GOV-PENDING-D8,finance_governance,governance,WARN,D8 PENDING_APPROVAL: Approve a distributor-to-chain crosswalk?,safe default in force: Blocked until an approved crosswalk exists,,config/cm2_decision_register.csv,Sales Ops + Finance,D8,Blocks any production use of the affected component.
GOV-PENDING-D9,finance_governance,governance,WARN,D9 PENDING_APPROVAL: Activate direct allocation rules ALLOC-001/002/003?,"safe default in force: Staged, tested, not activated",,config/cm2_decision_register.csv,Finance,D9,Blocks any production use of the affected component.
GOV-APPROVED-D10,finance_governance,governance,PASS,D10 approved by Finance clarification via repository owner on 2026-07-24,Finance clarification 2026-07-24; implemented scripts/cm2_cogs_logistics_fy27.py v2.0.0; tests tests/test_cm2_cogs_logis,,,,D10,
GOV-APPROVED-D11,finance_governance,governance,PASS,D11 approved by Finance clarification via repository owner on 2026-07-24,Finance statement 2026-07-24: 'COGS and logistics are separate cost components and must be calculated independently',,,,D11,
GOV-APPROVED-D12,finance_governance,governance,PASS,D12 approved by Senior Data Forensics review; source supplied by repository owner 2026-07-24 on 2026-07-24,"sheet ""MTD-Primary-June'26."" col 'MRP Value'; sha256 b73bf8ff...62ae3; NSV control 4167.38L vs data.js 4167.36L = 0.02L ",,,,D12,
GOV-APPROVED-D13,finance_governance,governance,PASS,D13 approved by Dashboard team / Data Engineering on 2026-07-24,scripts/fix_d13_mrp.py; build_dashboard_data.py line 2300 (_fx_included filter); seed PowerBI/SeedData/Masters/FY27_Mont,,,,D13,
GOV-FORMULA-DRAFT,finance_governance,governance,BLOCKED,CM2 formula is DRAFT -- every CM2 figure must be labelled provisional,9/9 components DRAFT,,config/cm2_formula.csv,Finance,D1,Display 'CM2 PROVISIONAL — FORMULA APPROVAL PENDING'; do not publish as final.
