Priority Buckets,Chain Name,Ship-To Name,Bill-To / Account (inferred),Direct/Distributor,Brand,Month Logic,Months Covered,Month Range,Avg Cont%,Min Cont%,Max Cont%,Mapping Confidence,Remarks,Pri: Low Confidence,Pri: Medium Confidence,Pri: Multi-Chain Distributor,Pri: Negative NSV/Cont,Pri: Name Variant (Merge Candidate),Validation Status,Validated Chain,Validated Account / Bill-To,Mapping Action,Validation Remarks,Validated By,Validated Date
5-Name Variant,Apollo,APOLLO HEALTHCO LIMITED-WB,APOLLO HEALTHCO LIMITED,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Apollo,APOLLO HEALTHCO LIMITED-WB-2,APOLLO HEALTHCO LIMITED,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,May'25–Aug'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Apollo,APOLLO HEALTHCO LIMITED-WB-2,APOLLO HEALTHCO LIMITED,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Apollo,APOLLO HEALTHCO LIMITED-WB-2,APOLLO HEALTHCO LIMITED,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Sep'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Apollo,Az Enterprises,Az Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),1,Apr'26–Apr'26,13.71,13.71,13.71,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Apollo,Az Enterprises,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),5,Dec'25–May'26,39.87,16.6,59.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Apollo,Az Enterprises,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),5,Dec'25–May'26,43.52,16.43,61.29,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist,Apollo,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Sep'25,10.19,0.86,31.39,High,Multi-chain distributor; chain name in ship-to (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist,Apollo,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),1,Mar'26–Mar'26,100.0,100.0,100.0,High,Multi-chain distributor; chain name in ship-to (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist,Apollo,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Feb'26,36.57,0.69,63.07,High,Multi-chain distributor; chain name in ship-to (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist,Apollo,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),8,Apr'25–Feb'26,35.92,20.73,62.01,High,Multi-chain distributor; chain name in ship-to (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,,Y,,Y,Pending,,,Merge,,,
5-Name Variant,Apollo,United Marketing_Mt,United Marketing,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),2,Sep'25–Feb'26,100.0,100.0,100.0,High,Distributor serving a single chain; account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Apollo,United Marketing_Mt,United Marketing,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),1,Feb'26–Feb'26,100.0,100.0,100.0,High,Distributor serving a single chain; account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Apollo,United Marketing_Mt-Ship to,United Marketing,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Distributor serving a single chain; account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Azorte,Reliance Retail Ltd (Azorte),Reliance Retail Ltd,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,Sep'25–Nov'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Azorte,Reliance Retail Ltd (Azorte),Reliance Retail Ltd,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Sep'25–Nov'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Azorte,Reliance Retail Ltd (Azorte),Reliance Retail Ltd,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),3,Sep'25–Nov'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Azorte,Reliance Retail Ltd (Azorte)_Shipto,Reliance Retail Ltd,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),10,Aug'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Azorte,Reliance Retail Ltd (Azorte)_Shipto,Reliance Retail Ltd,Direct,BBlunt,Monthly dynamic Cont% (secondary-driven),2,Sep'25–Oct'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Azorte,Reliance Retail Ltd (Azorte)_Shipto,Reliance Retail Ltd,Direct,Dr. Sheth's,Monthly dynamic Cont% (secondary-driven),4,Sep'25–Mar'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Azorte,Reliance Retail Ltd (Azorte)_Shipto,Reliance Retail Ltd,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),11,May'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Azorte,Reliance Retail Ltd (Azorte)_Shipto,Reliance Retail Ltd,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),11,May'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,B&N,Az Enterprises,Az Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),2,Apr'26–May'26,5.79,2.92,8.67,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,B&N,Az Enterprises,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Dec'25–May'26,0.35,0.06,0.76,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,B&N,Az Enterprises,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),4,Dec'25–May'26,0.77,0.38,1.23,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,B&N,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),2,Jul'25–Aug'25,12.21,4.81,19.6,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,B&N,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),7,Jul'25–Feb'26,47.97,2.6,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,B&N,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),4,Jul'25–Feb'26,0.76,0.29,2.02,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant,D-Mart,JUST MARK-Dmart,JUST MARK-Dmart,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),9,Apr'25–May'26,100.0,100.0,100.0,High,Distributor serving a single chain; account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,D-Mart,JUST MARK-Dmart,JUST MARK-Dmart,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Jan'26–Feb'26,100.0,100.0,100.0,High,Distributor serving a single chain; account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,D-Mart,JUST MARK-Dmart_ship to,JUST MARK-Dmart,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Distributor serving a single chain; account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,D-Mart,JUST MARK-Dmart_ship to,JUST MARK-Dmart,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Dec'25–May'26,100.0,100.0,100.0,High,Distributor serving a single chain; account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Frank Ross,Az Enterprises,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),2,Dec'25–Jan'26,0.95,0.56,1.33,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Frank Ross,Az Enterprises,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),3,Mar'26–May'26,0.13,0.0,0.19,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Az Enterprises,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),8,Oct'25–May'26,41.42,17.01,72.37,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Az Enterprises,Az Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),7,Nov'25–May'26,93.3,76.07,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Az Enterprises,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),8,Sep'25–May'26,22.53,0.98,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Az Enterprises,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),7,Sep'25–May'26,30.68,2.08,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Sep'25,50.68,31.46,62.32,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),7,Apr'25–Oct'25,94.11,74.3,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Dr. Sheth's,Monthly dynamic Cont% (secondary-driven),3,Oct'25–Apr'26,99.89,99.68,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Feb'26,16.57,3.37,48.1,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Health & Glow,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Mar'26,47.99,8.86,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant,Lifestyle Babyshop,Lifestyle International Pvt LtdBabyshop,Lifestyle International Pvt LtdBabyshop,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Lifestyle Babyshop,Lifestyle International Pvt LtdBabyshop_Ship To,Lifestyle International Pvt LtdBabyshop,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Lulu,Az Enterprises,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),8,Oct'25–May'26,24.53,11.67,36.74,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Lulu,Az Enterprises,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),7,Sep'25–May'26,13.56,0.37,39.99,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Lulu,Az Enterprises,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Sep'25–May'26,8.07,1.27,32.78,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Lulu,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Sep'25,17.73,11.66,22.59,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Lulu,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Feb'26,13.13,1.57,50.52,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Lulu,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),8,Apr'25–Feb'26,5.95,1.52,18.33,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Max Hyper,Az Enterprises,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),2,Dec'25–Apr'26,2.68,0.83,4.53,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Max Hyper,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Oct'25–Oct'25,0.6,0.6,0.6,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,More Retail,Az Enterprises,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),5,Oct'25–May'26,34.56,23.32,48.98,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,More Retail,Az Enterprises,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),7,Sep'25–May'26,8.21,3.18,22.03,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,More Retail,Az Enterprises,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Sep'25–May'26,2.63,0.36,9.5,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist,More Retail,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),8,May'25–Mar'26,49.8,6.72,100.0,High,Multi-chain distributor; chain name in ship-to (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist,More Retail,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),10,May'25–Feb'26,36.92,1.73,100.0,High,Multi-chain distributor; chain name in ship-to (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,,Y,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-OR EB2B,Nykaa E-Retail Limited,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),12,Jun'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-OR EB2B,Nykaa E-Retail Limited,Direct,Dr. Sheth's,Monthly dynamic Cont% (secondary-driven),5,Oct'25–Apr'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-OR EB2B,Nykaa E-Retail Limited,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),12,Jun'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-OR EB2B,Nykaa E-Retail Limited,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),12,Jun'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-TG EB2B,Nykaa E-Retail Limited,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),12,Jun'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-TG EB2B,Nykaa E-Retail Limited,Direct,Dr. Sheth's,Monthly dynamic Cont% (secondary-driven),4,Oct'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
